i0,if,y0,z0,yf,zf
83,45,4.5,-15.842105263157894,2.5,-13.736842105263158
83,66,4.5,-15.842105263157894,3.5,-12.68421052631579
84,21,4.5,-14.789473684210527,1.5,-17.94736842105263
84,41,4.5,-14.789473684210527,2.5,-17.94736842105263
84,44,4.5,-14.789473684210527,2.5,-14.789473684210527
84,45,4.5,-14.789473684210527,2.5,-13.736842105263158
84,46,4.5,-14.789473684210527,2.5,-12.68421052631579
84,48,4.5,-14.789473684210527,2.5,-10.578947368421053
84,61,4.5,-14.789473684210527,3.5,-17.94736842105263
84,65,4.5,-14.789473684210527,3.5,-13.736842105263158
84,69,4.5,-14.789473684210527,3.5,-9.526315789473685
85,4,4.5,-13.736842105263158,0.5,-14.789473684210527
85,5,4.5,-13.736842105263158,0.5,-13.736842105263158
85,7,4.5,-13.736842105263158,0.5,-11.631578947368421
85,23,4.5,-13.736842105263158,1.5,-15.842105263157894
85,24,4.5,-13.736842105263158,1.5,-14.789473684210527
85,41,4.5,-13.736842105263158,2.5,-17.94736842105263
85,42,4.5,-13.736842105263158,2.5,-16.894736842105264
85,43,4.5,-13.736842105263158,2.5,-15.842105263157894
85,44,4.5,-13.736842105263158,2.5,-14.789473684210527
85,47,4.5,-13.736842105263158,2.5,-11.631578947368421
85,48,4.5,-13.736842105263158,2.5,-10.578947368421053
85,69,4.5,-13.736842105263158,3.5,-9.526315789473685
85,70,4.5,-13.736842105263158,3.5,-8.473684210526317
86,8,4.5,-12.68421052631579,0.5,-10.578947368421053
86,41,4.5,-12.68421052631579,2.5,-17.94736842105263
86,47,4.5,-12.68421052631579,2.5,-11.631578947368421
86,50,4.5,-12.68421052631579,2.5,-8.473684210526317
86,69,4.5,-12.68421052631579,3.5,-9.526315789473685
87,11,4.5,-11.631578947368421,0.5,-7.421052631578949
87,45,4.5,-11.631578947368421,2.5,-13.736842105263158
87,48,4.5,-11.631578947368421,2.5,-10.578947368421053
87,62,4.5,-11.631578947368421,3.5,-16.894736842105264
87,64,4.5,-11.631578947368421,3.5,-14.789473684210527
87,65,4.5,-11.631578947368421,3.5,-13.736842105263158
87,70,4.5,-11.631578947368421,3.5,-8.473684210526317
87,71,4.5,-11.631578947368421,3.5,-7.421052631578949
88,5,4.5,-10.578947368421053,0.5,-13.736842105263158
88,6,4.5,-10.578947368421053,0.5,-12.68421052631579
88,7,4.5,-10.578947368421053,0.5,-11.631578947368421
88,32,4.5,-10.578947368421053,1.5,-6.368421052631579
88,45,4.5,-10.578947368421053,2.5,-13.736842105263158
88,51,4.5,-10.578947368421053,2.5,-7.421052631578949
88,63,4.5,-10.578947368421053,3.5,-15.842105263157894
88,64,4.5,-10.578947368421053,3.5,-14.789473684210527
88,66,4.5,-10.578947368421053,3.5,-12.68421052631579
88,69,4.5,-10.578947368421053,3.5,-9.526315789473685
89,12,4.5,-9.526315789473685,0.5,-6.368421052631579
89,25,4.5,-9.526315789473685,1.5,-13.736842105263158
89,45,4.5,-9.526315789473685,2.5,-13.736842105263158
89,47,4.5,-9.526315789473685,2.5,-11.631578947368421
89,49,4.5,-9.526315789473685,2.5,-9.526315789473685
90,12,4.5,-8.473684210526317,0.5,-6.368421052631579
90,31,4.5,-8.473684210526317,1.5,-7.421052631578949
90,46,4.5,-8.473684210526317,2.5,-12.68421052631579
90,50,4.5,-8.473684210526317,2.5,-8.473684210526317
